公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址
300519,<a href='http://www.szse.cn/certificate/individual/index.html?code=300519' target='_blank'><u>新光药业</u></a>,浙江新光药业股份有限公司,"Zhejiang Xinguang Pharmaceutical Co., Ltd.",浙江省嵊州市剡湖街道环城西路25号,300519,新光药业,2016-06-24,"160,000,000","98,800,000",,,,0,0,华东,浙江,绍兴市,C 制造业,www.xgpharma.com
300520,<a href='http://www.szse.cn/certificate/individual/index.html?code=300520' target='_blank'><u>科大国创</u></a>,科大国创软件股份有限公司,"GuoChuang Software Co.,Ltd.",安徽省合肥市高新区文曲路355号,300520,科大国创,2016-07-08,"202,400,000","112,651,992",,,,0,0,华东,安徽,合肥市,I 信息技术,www.kdgcsoft.com
300521,<a href='http://www.szse.cn/certificate/individual/index.html?code=300521' target='_blank'><u>爱司凯</u></a>,爱司凯科技股份有限公司,"AMSKY Technology Co.,Ltd.",广东省广州市中新广州知识城九佛建设新街18号自编112房,300521,爱司凯,2016-07-05,"144,000,000","94,863,420",,,,0,0,华南,广东,广州市,C 制造业,www..amsky.cc
300522,<a href='http://www.szse.cn/certificate/individual/index.html?code=300522' target='_blank'><u>世名科技</u></a>,苏州世名科技股份有限公司,"Suzhou Sunmun Technology Co., Ltd.",江苏省昆山市周市镇黄浦江北路219号,300522,世名科技,2016-07-05,"120,991,000","50,887,650",,,,0,0,华东,江苏,苏州市,C 制造业,www.smcolor.com.cn
300523,<a href='http://www.szse.cn/certificate/individual/index.html?code=300523' target='_blank'><u>辰安科技</u></a>,北京辰安科技股份有限公司,"Beijing Global Safety Technology Co., Ltd.",北京市海淀区丰秀中路3号院1号楼-1至5层305,300523,辰安科技,2016-07-26,"144,000,000","102,627,985",,,,0,0,华北,北京,北京市,I 信息技术,www.gsafety.com
300525,<a href='http://www.szse.cn/certificate/individual/index.html?code=300525' target='_blank'><u>博思软件</u></a>,福建博思软件股份有限公司,Fujian Boss Software Corp.,福建省福州市闽侯县上街镇科技东路福州高新技术产业开发区“海西高新技术产业园”创业大厦A区7层,300525,博思软件,2016-07-26,"129,657,600","78,433,109",,,,0,0,华东,福建,福州市,I 信息技术,www.bosssoft.com.cn
300526,<a href='http://www.szse.cn/certificate/individual/index.html?code=300526' target='_blank'><u>中潜股份</u></a>,中潜股份有限公司,China Dive Company Limited,广东省惠州市惠阳区新圩镇长布村,300526,中潜股份,2016-08-02,"171,464,816","59,812,716",,,,0,0,华南,广东,惠州市,C 制造业,www.sumnet.com.cn
300527,<a href='http://www.szse.cn/certificate/individual/index.html?code=300527' target='_blank'><u>中国应急</u></a>,中国船舶重工集团应急预警与救援装备股份有限公司,"CHINA HARZONE INDUSTRY CORP., LTD",湖北省武汉市江夏区庙山开发区阳光大道5号,300527,中国应急,2016-08-05,"874,503,000","258,081,824",,,,0,0,华中,湖北,武汉市,C 制造业,www.harzone.com.cn
300528,<a href='http://www.szse.cn/certificate/individual/index.html?code=300528' target='_blank'><u>幸福蓝海</u></a>,幸福蓝海影视文化集团股份有限公司,Omnijoi Media Corporation,江苏省南京市中山路348号中信大厦17楼,300528,幸福蓝海,2016-08-08,"372,608,054","151,840,931",,,,0,0,华东,江苏,南京市,R 文化传播,www.omnijoi.com
300529,<a href='http://www.szse.cn/certificate/individual/index.html?code=300529' target='_blank'><u>健帆生物</u></a>,珠海健帆生物科技股份有限公司,"Jafron Biomedical Co.,Ltd.",广东省珠海市高新区科技六路98号,300529,健帆生物,2016-08-02,"417,586,000","106,964,790",,,,0,0,华南,广东,珠海市,C 制造业,www.jafron.com
300530,<a href='http://www.szse.cn/certificate/individual/index.html?code=300530' target='_blank'><u>达志科技</u></a>,广东达志环保科技股份有限公司,Guangdong DaZhi Environmental Protection Technology Incorporated Company,广东省广州经济技术开发区永和经济区田园东路1号、2号,300530,达志科技,2016-08-09,"70,406,000","21,074,200",,,,0,0,华南,广东,广州市,C 制造业,www.dazhitech.com
300531,<a href='http://www.szse.cn/certificate/individual/index.html?code=300531' target='_blank'><u>优博讯</u></a>,深圳市优博讯科技股份有限公司,"UROVO TECHNOLOGY CO., LTD.",广东省深圳市南山区粤海街道学府路63号高新区联合总部大厦36楼,300531,优博讯,2016-08-09,"280,000,000","121,996,000",,,,0,0,华南,广东,深圳市,C 制造业,www.urovo.com
300532,<a href='http://www.szse.cn/certificate/individual/index.html?code=300532' target='_blank'><u>今天国际</u></a>,深圳市今天国际物流技术股份有限公司,"NEW TREND INTERNATIONAL LOGIS-TECH CO.,LTD.",广东省深圳市罗湖区笋岗东路1002宝安广场A座10楼F、G、H,300532,今天国际,2016-08-18,"277,253,280","119,625,012",,,,0,0,华南,广东,深圳市,I 信息技术,www.nti56.com
300533,<a href='http://www.szse.cn/certificate/individual/index.html?code=300533' target='_blank'><u>冰川网络</u></a>,深圳冰川网络股份有限公司,"SHENZHEN BINGCHUAN NETWORK CO.,LTD.",广东省深圳市南山区科技中二路1号深圳软件园（2期）9栋601、602室,300533,冰川网络,2016-08-18,"101,246,000","35,728,270",,,,0,0,华南,广东,深圳市,I 信息技术,www.q1.com
300534,<a href='http://www.szse.cn/certificate/individual/index.html?code=300534' target='_blank'><u>陇神戎发</u></a>,甘肃陇神戎发药业股份有限公司,"Gansu Longshenrongfa Pharmaceutical Industry CO. ,LTD",甘肃省兰州市榆中县定远镇国防路10号,300534,陇神戎发,2016-09-13,"303,345,000","203,613,059",,,,0,0,西北,甘肃,兰州市,C 制造业,www.lsrfzy.com
300535,<a href='http://www.szse.cn/certificate/individual/index.html?code=300535' target='_blank'><u>达威股份</u></a>,四川达威科技股份有限公司,Sichuan Dowell Science and Technology Inc.,四川省成都市新津县五津镇希望路555号,300535,达威股份,2016-08-12,"104,395,998","52,924,772",,,,0,0,西南,四川,成都市,C 制造业,www.dowellchem.cn
